filename,label
Train1.csv,Normal
Train2.csv,Side II
Train3.csv,Normal
Train4.csv,Normal
Train5.csv,Normal
Train6.csv,Normal
Train7.csv,Normal
Train8.csv,Normal
Train9.csv,Normal
Train10.csv,Normal
Train11.csv,Normal
Train12.csv,Side II
Train13.csv,Normal
Train14.csv,Normal
Train15.csv,Normal
Train16.csv,Normal
Train17.csv,Normal
Train18.csv,Normal
Train19.csv,Normal
Train20.csv,Normal
Train21.csv,Normal
Train22.csv,Normal
Train23.csv,Normal
Train24.csv,Normal
Train25.csv,Normal
Train26.csv,Side II
Train27.csv,Normal
Train28.csv,Normal
Train29.csv,Normal
Train30.csv,Side II
Train31.csv,Normal
Train32.csv,Normal
Train33.csv,Normal
Train34.csv,Normal
Train35.csv,Normal
Train36.csv,Normal
Train37.csv,Normal
Train38.csv,Normal
Train39.csv,Normal
Train40.csv,Normal
Train41.csv,Normal
Train42.csv,Normal
Train43.csv,Side II
Train44.csv,Normal
Train45.csv,Normal
Train46.csv,Normal
Train47.csv,Normal
Train48.csv,Normal
Train49.csv,Normal
Train50.csv,Normal
Train51.csv,Normal
Train52.csv,Normal
Train53.csv,Side II
Train54.csv,Normal
Train55.csv,Normal
Train56.csv,Normal
Train57.csv,Normal
Train58.csv,Normal
Train59.csv,Normal
Train60.csv,Normal
Train61.csv,Normal
Train62.csv,Side I
Train63.csv,Normal
Train64.csv,Normal
Train65.csv,Normal
Train66.csv,Normal
Train67.csv,Normal
Train68.csv,Normal
Train69.csv,Normal
Train70.csv,Normal
Train71.csv,Normal
Train72.csv,Side II
Train73.csv,Normal
Train74.csv,Normal
Train75.csv,Normal
Train76.csv,Normal
Train77.csv,Normal
Train78.csv,Normal
Train79.csv,Normal
Train80.csv,Normal
Train81.csv,Normal
Train82.csv,Normal
Train83.csv,Side I
Train84.csv,Normal
Train85.csv,Normal
Train86.csv,Normal
Train87.csv,Normal
Train88.csv,Normal
Train89.csv,Normal
Train90.csv,Normal
Train91.csv,Normal
Train92.csv,Normal
Train93.csv,Side II
Train94.csv,Normal
Train95.csv,Normal
Train96.csv,Normal
Train97.csv,Normal
Train98.csv,Normal
Train99.csv,Normal
Train100.csv,Side I
Train101.csv,Normal
Train102.csv,Normal
Train103.csv,Side II
Train104.csv,Side II
Train105.csv,Normal
Train106.csv,Side I
Train107.csv,Normal
Train108.csv,Normal
Train109.csv,Normal
Train110.csv,Normal
Train111.csv,Side II
Train112.csv,Normal
Train113.csv,Normal
Train114.csv,Normal
Train115.csv,Normal
Train116.csv,Normal
Train117.csv,Normal
Train118.csv,Normal
Train119.csv,Normal
Train120.csv,Normal
Train121.csv,Side I
Train122.csv,Normal
Train123.csv,Normal
Train124.csv,Normal
Train125.csv,Normal
Train126.csv,Normal
Train127.csv,Side II
Train128.csv,Normal
Train129.csv,Normal
Train130.csv,Normal
Train131.csv,Normal
Train132.csv,Normal
Train133.csv,Normal
Train134.csv,Normal
Train135.csv,Normal
Train136.csv,Normal
Train137.csv,Side I
Train138.csv,Normal
Train139.csv,Normal
Train140.csv,Normal
Train141.csv,Normal
Train142.csv,Normal
Train143.csv,Normal
Train144.csv,Normal
Train145.csv,Normal
Train146.csv,Normal
Train147.csv,Normal
Train148.csv,Normal
Train149.csv,Normal
Train150.csv,Side I
Train151.csv,Normal
Train152.csv,Normal
Train153.csv,Normal
Train154.csv,Normal
Train155.csv,Normal
Train156.csv,Normal
Train157.csv,Normal
Train158.csv,Normal
Train159.csv,Normal
Train160.csv,Normal
Train161.csv,Normal
Train162.csv,Normal
Train163.csv,Side I
Train164.csv,Side II
Train165.csv,Normal
Train166.csv,Normal
Train167.csv,Normal
Train168.csv,Normal
Train169.csv,Normal
Train170.csv,Side I
Train171.csv,Normal
Train172.csv,Normal
Train173.csv,Normal
Train174.csv,Normal
Train175.csv,Normal
Train176.csv,Normal
Train177.csv,Normal
Train178.csv,Normal
Train179.csv,Side II
Train180.csv,Side I
Train181.csv,Normal
Train182.csv,Normal
Train183.csv,Normal
Train184.csv,Normal
Train185.csv,Side I
Train186.csv,Normal
Train187.csv,Normal
Train188.csv,Side II
Train189.csv,Normal
Train190.csv,Normal
Train191.csv,Normal
Train192.csv,Normal
Train193.csv,Normal
Train194.csv,Side I
Train195.csv,Normal
Train196.csv,Normal
Train197.csv,Normal
Train198.csv,Side II
Train199.csv,Side II
Train200.csv,Normal
Train201.csv,Normal
Train202.csv,Side I
Train203.csv,Normal
Train204.csv,Normal
Train205.csv,Normal
Train206.csv,Normal
Train207.csv,Side II
Train208.csv,Normal
Train209.csv,Normal
Train210.csv,Normal
Train211.csv,Normal
Train212.csv,Normal
Train213.csv,Side I
Train214.csv,Normal
Train215.csv,Normal
Train216.csv,Side II
Train217.csv,Side II
Train218.csv,Normal
Train219.csv,Normal
Train220.csv,Normal
Train221.csv,Normal
Train222.csv,Normal
Train223.csv,Normal
Train224.csv,Normal
Train225.csv,Normal
Train226.csv,Normal
Train227.csv,Normal
Train228.csv,Normal
Train229.csv,Normal
Train230.csv,Normal
Train231.csv,Normal
Train232.csv,Normal
Train233.csv,Normal
Train234.csv,Normal
Train235.csv,Normal
Train236.csv,Normal
Train237.csv,Normal
Train238.csv,Normal
Train239.csv,Normal
Train240.csv,Side II
Train241.csv,Normal
Train242.csv,Normal
Train243.csv,Normal
Train244.csv,Normal
Train245.csv,Normal
Train246.csv,Normal
Train247.csv,Normal
Train248.csv,Side II
Train249.csv,Normal
Train250.csv,Normal
Train251.csv,Normal
Train252.csv,Normal
Train253.csv,Normal
Train254.csv,Normal
Train255.csv,Normal
Train256.csv,Normal
Train257.csv,Normal
Train258.csv,Normal
