filename,damage
train01.csv,0.103662995
train02.csv,0.149208849
train03.csv,0.111297606
train04.csv,0.894736481
train05.csv,0.054740135
train06.csv,0.467359393
train07.csv,0.028737481
train08.csv,0.078418334
train09.csv,0.033628754
train10.csv,0.716510036
train11.csv,0.056409053
train12.csv,0.054978382
train13.csv,0.028620288
train14.csv,0.035544524
train15.csv,0.051323979
train16.csv,0.61202604
train17.csv,0.423558906
train18.csv,0.375658256
train19.csv,0.033974091
train20.csv,0.115031186
train21.csv,0.056276601
train22.csv,0.080670606
train23.csv,0.789624017
train24.csv,0.060708901
train25.csv,0.057598512
train26.csv,0.028622651
train27.csv,0.672913029
train28.csv,0.159309086
train29.csv,0.045191049
train30.csv,0.09275185
train31.csv,0.928338975
train32.csv,0.05965584
train33.csv,0.028831268
train34.csv,0.700103573
train35.csv,0.028827561
train36.csv,0.332861874
train37.csv,0.50786784
train38.csv,0.035914277
train39.csv,0.542141961
train40.csv,0.178849028
train41.csv,0.132170551
train42.csv,0.132121434
train43.csv,0.435326638
train44.csv,0.141935868
train45.csv,0.187610341
train46.csv,0.094676808
train47.csv,0.072398903
train48.csv,0.132467063
train49.csv,0.476568618
train50.csv,0.040152677
train51.csv,0.131487919
train52.csv,0.616000631
train53.csv,0.043912869
train54.csv,0.832608215
train55.csv,0.055313708
train56.csv,0.0400505
train57.csv,0.728839308
train58.csv,0.031759612
train59.csv,0.09153768
train60.csv,0.038279074
train61.csv,0.103184684
train62.csv,0.046122257
train63.csv,0.03208265
train64.csv,0.280285955
